"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"57","","WLZ Year 2","603","2.17","2.9","-0.98","-1.01","-0.04 (-0.14, 0.07)","0.5","0.64","-1.2","-1.18","0.02 (-0.04, 0.08)","0.56","0.67"
"58","","HCZ Year 2","602","2.17","2.9","-1.81","-1.78","0.04 (-0.09, 0.17)","0.59","0.71","-1.99","-1.93","0.06 (-0.01, 0.14)","0.09","0.21"
"59","","Length velocity (cm/month) Year 1 to Year 2","603","2.17","2.9","0.79","0.81","0.02 (-0.01, 0.05)","0.12","0.21","0.79","0.81","0.02 (-0.01, 0.04)","0.14","0.25"
"60","","Weight velocity (kg/month) Year 1 to Year 2","605","2.16","2.9","0.15","0.15","0 (0, 0.01)","0.2","0.31","0.14","0.14","0 (0, 0.01)","0.72","0.77"
"61","","Head circumference velocity (cm/month) Year 1 to Year 2","603","2.17","2.9","0.14","0.15","0.01 (0, 0.02)","0.06","0.12","0.15","0.15","0.01 (0, 0.02)","0.15","0.27"
"62","","Change in LAZ from Year 1 to Year 2","603","2.17","2.9","-0.1","0.02","0.12 (0.01, 0.23)","0.03","0.08","-0.26","-0.17","0.08 (-0.02, 0.19)","0.13","0.25"
"63","","Change in WAZ from Year 1 to Year 2","605","2.16","2.9","-0.3","-0.23","0.07 (0.01, 0.13)","0.02","0.06","-0.37","-0.32","0.05 (0, 0.11)","0.07","0.18"
"64","","Change in WLZ from Year 1 to Year 2","603","2.17","2.9","-0.32","-0.23","0.08 (0.01, 0.15)","0.02","0.07","-0.27","-0.19","0.08 (0.01, 0.15)","0.03","0.12"
"65","","Change in HCZ from Year 1 to Year 2","599","2.17","2.9","-0.1","-0.02","0.08 (0, 0.17)","0.05","0.11","-0.15","-0.09","0.07 (-0.01, 0.14)","0.09","0.21"
"66","","","","","","","","","","","","","","",""
"67","Combined urinary oxidative stress biomarkers","LAZ Year 1","688","2.48","3.53","-1.21","-1.46","-0.26 (-0.5, -0.02)","0.04","0.1","-1.07","-1.38","-0.31 (-0.51, -0.11)","0","0.02"
"68","","WAZ Year 1","688","2.48","3.53","-1.09","-1.27","-0.18 (-0.33, -0.03)","0.02","0.06","-1.01","-1.19","-0.18 (-0.27, -0.1)","0","0"
"69","","WLZ Year 1","688","2.48","3.53","-0.7","-0.86","-0.16 (-0.26, -0.07)","0","0.01","-0.63","-0.75","-0.12 (-0.21, -0.04)","0.01","0.03"
"70","","HCZ Year 1","683","2.47","3.53","-1.72","-1.72","0 (-0.12, 0.12)","0.96","0.99","-1.59","-1.63","-0.04 (-0.15, 0.07)","0.51","0.64"
"71","","LAZ Year 2","603","2.48","3.52","-1.31","-1.41","-0.1 (-0.25, 0.05)","0.19","0.31","-1.5","-1.46","0.04 (-0.06, 0.13)","0.47","0.61"
"72","","WAZ Year 2","605","2.48","3.52","-1.43","-1.55","-0.12 (-0.22, -0.03)","0.01","0.05","-1.58","-1.62","-0.04 (-0.16, 0.09)","0.58","0.68"
"73","","WLZ Year 2","603","2.48","3.52","-0.98","-1.02","-0.04 (-0.13, 0.05)","0.41","0.55","-1.17","-1.17","-0.01 (-0.16, 0.15)","0.95","0.95"
"74","","HCZ Year 2","602","2.47","3.52","-1.82","-1.79","0.03 (-0.07, 0.12)","0.61","0.71","-1.98","-1.92","0.06 (0, 0.11)","0.05","0.15"
"75","","Length velocity (cm/month) Year 1 to Year 2","603","2.48","3.52","0.8","0.8","0 (-0.02, 0.03)","0.99","0.99","0.8","0.81","0 (-0.02, 0.03)","0.77","0.79"
"76","","Weight velocity (kg/month) Year 1 to Year 2","605","2.48","3.52","0.15","0.15","0 (-0.01, 0.01)","0.94","0.99","0.14","0.15","0 (0, 0.01)","0.14","0.25"
"77","","Head circumference velocity (cm/month) Year 1 to Year 2","603","2.48","3.52","0.14","0.15","0.01 (0, 0.02)","0.02","0.06","0.15","0.15","0.01 (0, 0.01)","0.05","0.15"
"78","","Change in LAZ from Year 1 to Year 2","603","2.48","3.52","-0.07","0.02","0.09 (0, 0.19)","0.05","0.12","-0.26","-0.21","0.05 (-0.04, 0.15)","0.27","0.37"
"79","","Change in WAZ from Year 1 to Year 2","605","2.48","3.52","-0.31","-0.21","0.1 (0.05, 0.15)","0","0","-0.38","-0.29","0.09 (0.04, 0.14)","0","0.01"
"80","","Change in WLZ from Year 1 to Year 2","603","2.48","3.52","-0.29","-0.21","0.08 (-0.1, 0.26)","0.38","0.53","-0.22","-0.17","0.05 (-0.13, 0.22)","0.6","0.69"
"81","","Change in HCZ from Year 1 to Year 2","599","2.47","3.52","-0.15","0.01","0.15 (0.02, 0.29)","0.03","0.07","-0.14","-0.08","0.06 (0, 0.12)","0.05","0.15"
